Description,Location,Number of Rooms,Price
One Bedroom Flat To Rent,"                        London, Greater London                    ",1,1100.0
Two Double Bedroom Flat To Rent,"                        London, Greater London                    ",1,1695.0
One Bedroom Garden Flat To Rent,"                        London, Greater London                    ",1,1257.0
"Apartment in London, Greater London","                        London, Greater London                    ",2,8660.0
"Apartment in London, Greater London","                        London, Greater London                    ",2,5995.0
"Apartment in West End of London, Greater London","                        London, Greater London                    ",2,2487.0
"Apartment in West End of London, Greater London","                        London, Greater London                    ",2,2886.0
Bagshaw Building,"                        London, Greater London                    ",2,5000.0
"Pan Peninsula, Canary Wharf, London, E14","                        London, Greater London                    ",2,3250.0
Apartment for rent in London,"                        London, Greater London                    ",2,3000.0
"Apartment in London, Greater London","                        London, Greater London                    ",2,3730.0
Studio Apartment Studio,"                        London, Greater London                    ",1,1278.0
"Flat to rent in Fitzjames Avenue, London W14","                        London, Greater London                    ",3,7328.0
"Arthouse, York Way, Islington, London, N1C","                        London, Greater London                    ",1,2578.0
"Rhondda Grove, London, E3","                        London, Greater London                    ",2,1995.0
Flat To Rent,"                        London, Greater London                    ",1,950.0
Studio To Rent,"                        London, Greater London                    ",1,800.0
Semi Studio To Rent,"                        London, Greater London                    ",1,520.0
"Hoola East Tower, Tidal Basin Road, Canning Town, London, E16","                        London, Greater London                    ",1,2250.0
"Double room Single use in Bow, McAusland House, Wrights Road, E3","                        London, Greater London                    ",1,715.0
"Double room Single use in Borough/London Bridge, Cedar Court, 1 Royal Oak Yard, SE1","                        London, Greater London                    ",1,1083.0
"3 Bedroom flat to rent in Parkhill Road, Belsize Park, NW3","                        London, Greater London                    ",3,3693.0
"Double room Single use in London City Airport,Gallions Reach, Samuel Building, 9 Frobisher Yard, E16","                        London, Greater London                    ",1,801.0
"Walthamstow 1BR w/ Gym, Lounge & Concierge nr Tube","                        London, Greater London                    ",2,3390.0
"Old Brompton Road, South Kensington, London, SW7","                        London, Greater London                    ",1,2145.0
"Holmdale Road, West Hampstead, NW6","                        London, Greater London                    ",2,2560.0
house for rent,"                        London, Greater London                    ",4,4250.0
"Lyttelton Court, Lyttelton Road, N2","                        London, Greater London                    ",2,1524.0
"Property in Ollerton Green, Bow, E3:3 room apartment to let in London","                        London, Greater London                    ",3,2700.0
Edith Grove,"                        London, Greater London                    ",1,1600.0
"1 Bedroom flat to rent on Beta Place, Clapham, SW4","                        London, Greater London                    ",1,2600.0
1 Bedroom Flat N9 £1150,"                        London, Greater London                    ",1,1300.0
"Wandsworth Bridge Road, London, SW6","                        London, Greater London                    ",2,2400.0
"apartment for rent at The Nova Building, Buckingham Palace Road, Victoria, London, SW1W","                        London, Greater London                    ",2,5866.0
"Trafalgar Street, Elephant and Castle, London, SE17","                        London, Greater London                    ",3,3200.0
2 Bed Flat / Apartment St. Cyprians Court London SE4 Truepenny's Head Office,"                        London, Greater London                    ",2,1850.0
"Queenstown Road, London, London","                        London, Greater London                    ",2,2500.0
"apartment for rent at Winns Avenue, London, E17","                        London, Greater London                    ",2,1595.0
apartment for rent in London,"                        London, Greater London                    ",2,8017.0
"Hillfield Avenue, London, N8 7DP","                        London, Greater London                    ",1,1250.0
Apartment for rent in London,"                        London, Greater London                    ",3,2893.0
"Apartment in London, Greater London","                        London, Greater London                    ",2,3997.0
"Nine Elms Lane, London, SW11","                        London, Greater London                    ",2,4515.0
apartment for rent in London,"                        London, Greater London                    ",2,2817.0
"Property To Rent Chatsworth Road, London, NW2 | Flat through Abacus Estates","                        London, Greater London                    ",1,1503.0
"Trundleys Road, London, SE8","                        London, Greater London                    ",1,1250.0
"Property To Rent Wordsworth Walk, Golders Green, NW11 | 3 Bedroom Flat through Abacus Estates","                        London, Greater London                    ",3,2281.0
"apartment for rent at College Building, Battersea Park, SW11","                        London, Greater London                    ",2,3995.0
Lovely 1 Bedroom Flat in Shepherd's Bush,"                        London, Greater London                    ",2,3075.0
"Apartment in London, Greater London","                        London, Greater London                    ",1,3917.0
Studio Bed Flat / Apartment 8 Brockley Cross London SE4 Truepenny's Head Office,"                        London, Greater London                    ",1,1333.0
"Nine Elms Lane, London, SW11","                        London, Greater London                    ",3,5020.0
"Property To Rent Fordwych Road, West Hampstead, NW2 | Studio through Abacus Estates","                        London, Greater London                    ",1,1351.0
1 Bed Flat / Apartment Honor Oak Park London SE23 Truepenny's Head Office,"                        London, Greater London                    ",1,1650.0
Five Bedroom Terraced House to Rent Close to Brixton Central,"                        London, Greater London                    ",4,4000.0
2 Bed Flat / Apartment 545 Lordship Lane London SE22 Truepenny's Head Office,"                        London, Greater London                    ",2,1700.0
"Kensington Apartments, Commercial Street, Aldgate East, E1","                        London, Greater London                    ",2,3500.0
"Nine Elms Lane, London, SW11","                        London, Greater London                    ",3,5105.0
"Apartment in London, Greater London","                        London, Greater London                    ",2,4752.0
"Property To Rent Crouch Hill, Crouch Hill, N4 | 1 Bedroom Flat through Abacus Estates","                        London, Greater London                    ",1,1520.0
"Property To Rent Oakley Square, Camden, NW1 | Studio through Abacus Estates","                        London, Greater London                    ",1,1403.0
"124 Spa Road, SE16 3FD","                        London, Greater London                    ",1,7604.0
"apartment at Chalk Farm Road, NW1","                        London, Greater London                    ",1,1400.0
"2 bedroom property to let in George's Square, London £2,400 pcm","                        London, Greater London                    ",2,2400.0
Adeney Close London,"                        London, Greater London                    ",4,3228.0
"apartment at Sandringham Road, E8","                        London, Greater London                    ",1,1300.0
"3 bedroom property to let in Hereford Square, South Kensington, SW7 £2,500 pw","                        London, Greater London                    ",3,10833.0
"Royal Oak Yard, London, SE1","                        London, Greater London                    ",2,2500.0
"Property To Rent Brookland Rise, Hampstead Garden Suburb, NW11 | 3 Bedroom Flat through Abacus Estates","                        London, Greater London                    ",3,3258.0
"Merino Gardens, London, E1W","                        London, Greater London                    ",1,2600.0
"Apartment in West End of London, Greater London","                        London, Greater London                    ",3,4441.0
"Apartment in London, Greater London","                        London, Greater London                    ",1,4245.0
"Walpole Street, London, SW3","                        London, Greater London                    ",2,5100.0
"Exchange Gardens, London, SW8","                        London, Greater London                    ",1,2799.0
3 bedroom mews house in Chelsea near The Thames with parking,"                        London, Greater London                    ",3,10580.0
"Property To Rent Heathfield Park, Willesden Green, NW2 | 1 Bedroom Flat through Abacus Estates","                        London, Greater London                    ",1,2255.0
Studio To Rent,"                        London, Greater London                    ",1,910.0
"Double room Single use in Greenwich, Barquentine Heights,4 Peartree Way, SE10","                        London, Greater London                    ",1,1040.0
"Apartment in London, Greater London","                        London, Greater London                    ",4,10659.0
King’s Road,"                        London, Greater London                    ",2,2300.0
Elm Park Mansions,"                        London, Greater London                    ",2,2700.0
"Apartment in London, Greater London","                        London, Greater London                    ",1,5756.0
"Pembridge Villas, London, W11","                        London, Greater London                    ",1,4983.0
"Arc Tower, Uxbridge Road, London, W5 2SN Panda Residential","                        London, Greater London                    ",1,1400.0
"apartment at Hawker Place Walthamstow, E17 4GD","                        London, Greater London                    ",1,1195.0
"Apartment in West End of London, Greater London","                        London, Greater London                    ",1,3375.0
"Park Road, St Johns Wood, NW8","                        London, Greater London                    ",2,3280.0
Double Semi Studio To Rent,"                        London, Greater London                    ",1,953.0
"Chilworth Street, London, W2","                        London, Greater London                    ",1,2058.0
1 bedroom apartment to rent,"                        London, Greater London                    ",1,2745.0
"Apartment in London, Greater London","                        London, Greater London                    ",2,5542.0
"Apartment in London, Greater London","                        London, Greater London                    ",3,6093.0
"Emanuel House, 18 Rochester Row, London, SW1P","                        London, Greater London                    ",1,2492.0
"Woodmill Road, Hackney, E5 9GX","                        London, Greater London                    ",2,1600.0
"Downs Road, Hackney, E5 8DA","                        London, Greater London                    ",1,1900.0
"Chelmer Road, Hackney, E9 6AY","                        London, Greater London                    ",3,1950.0
"Cromwell Crescent, Earls Court, London, SW5","                        London, Greater London                    ",2,2747.0
"apartment in Ealing Green, London United Kingdom","                        London, Greater London                    ",3,3500.0
"Princes avenue, London, NW9","                        London, Greater London                    ",4,2199.0
"Fryent Close, Kingsbury, London, NW9 9SD","                        London, Greater London                    ",2,1400.0
"Apartment in London, Greater London","                        London, Greater London                    ",4,6943.0
2 Bedroom Flat for rent in London,"                        London, Greater London                    ",2,3000.0
2 Bedroom Flat for rent in London,"                        London, Greater London                    ",2,2275.0
"Room To Rent In London, London | Room for rent #79231360 | Rentberry","                        London, Greater London                    ",3,854.0
"Minford Gardens, Shepherds Bush, W14","                        London, Greater London                    ",1,1900.0
"6 bedroom Semi detached house to let Cheviot Gardens, London","                        London, Greater London                    ",6,3500.0
"Regents Park Road, Finchley Central, London, N3 3HP Excel Property UK","                        London, Greater London                    ",1,1480.0
"2 Bedroom End of Terrace House to Rent in Sunny Way, North Finchley, London N12, North Finchley, N12, 0QB | allAgents. Property id 2967377","                        London, Greater London                    ",2,1750.0
Garden Studio To Rent,"                        London, Greater London                    ",1,866.0
4 bedroom flat for rent,"                        London, Greater London                    ",4,2460.0
"Vauxhall Bridge Road, Westminster, London, SW1V","                        London, Greater London                    ",1,2059.0
2 Bedroom Flat,"                        London, Greater London                    ",2,1711.0
Studio To Rent,"                        London, Greater London                    ",1,1000.0
"Wickham Road, Brockley, London, SE4","                        London, Greater London                    ",1,1500.0
Studio Apartment Flat,"                        London, Greater London                    ",1,1430.0
Studio To Rent,"                        London, Greater London                    ",1,870.0
4 bedroom maisonette for rent,"                        London, Greater London                    ",4,2200.0
One Bedroom Flat To Rent,"                        London, Greater London                    ",1,997.0
"Apartment in London, Greater London","                        London, Greater London                    ",2,4192.0
"Kings Road Chelsea London SW3, London SW3 Apartment for rent | JLL Residential","                        London, Greater London                    ",1,3796.0
Modern and Comfy One ensuite Flat North London,"                        London, Greater London                    ",2,3314.0
"Nottingham Place Marylebone W1U, London W1U Apartment for rent | JLL Residential","                        London, Greater London                    ",1,3700.0
"Hertsmere Road London E14, London E14 Apartment for rent | JLL Residential","                        London, Greater London                    ",1,3980.0
"2 Bedroom Flat to Rent at Cowdenbeath, Fife, England","                        London, Greater London                    ",2,575.0
"Fairfield Road, Edmonton, N18. Homelink Lettings & Estates Estate agents based in Southgate N14, sales and lettings across London","                        London, Greater London                    ",1,1150.0
"Apartment in London, Greater London","                        London, Greater London                    ",2,6217.0
"Gateway Tower, 28 Western Gateway, Royal Victoria, London, E16","                        London, Greater London                    ",3,2750.0
Studio To Rent,"                        London, Greater London                    ",1,875.0
1 bedroom apartment to rent,"                        London, Greater London                    ",1,2000.0
"1 bedroom studio to let in Warwick Gardens, London, N4 | Capital Homes Residential","                        London, Greater London                    ",1,1400.0
"apartment at Victoria Road, Ealing","                        London, Greater London                    ",2,1950.0
House for rent in London,"                        London, Greater London                    ",6,5000.0
"house at Calbourne Road, London","                        London, Greater London                    ",4,4616.0
Apartment for rent in London,"                        London, Greater London                    ",3,5633.0
"Westbourne Crescent, Lancaster Gate, London, W2","                        London, Greater London                    ",1,1303.0
"Marsham Street, LONDON, SW1P | Century 21 UK","                        London, Greater London                    ",1,2300.0
"Marlow Road, LONDON, E6 | Century 21 UK","                        London, Greater London                    ",3,2195.0
"Belvedere Road, LONDON, SE1 | Century 21 UK","                        London, Greater London                    ",1,2050.0
"Page Street, LONDON, SW1P | Century 21 UK","                        London, Greater London                    ",1,1950.0
house for rent in London,"                        London, Greater London                    ",2,4000.0
apartment for rent in London,"                        London, Greater London                    ",2,2708.0
"house for rent at Clareville Street, South Kensington, London, SW7","                        London, Greater London                    ",5,16294.0
"Property in Earls Court Road, SW5","                        London, Greater London                    ",2,2300.0
"Property for rent in New City Road, London, Greater London. E13 Victor Michael","                        London, Greater London                    ",2,1650.0
"Property for rent in Louise Road, Stratford, London. E15 Victor Michael","                        London, Greater London                    ",2,1650.0
Apartment for rent in London,"                        London, Greater London                    ",2,850.0
"house for rent at Marlton Street, London, SE10","                        London, Greater London                    ",2,2500.0
"4 Bedroom Flat to Rent in Sunningfields Road, London, NW4, 4RL | allAgents. Property id 3427599","                        London, Greater London                    ",4,1850.0
"Property in Canfield Gardens, NW6","                        London, Greater London                    ",2,2300.0
"Property in Haverstock Hill, NW3","                        London, Greater London                    ",2,2500.0
"Property in Willesden Lane, NW2","                        London, Greater London                    ",1,1500.0
"2 Bedroom Ground Flat to Rent in HAMILTON ROAD, GOLDERS GREEN, LONDON, NW11, NW11, 9EB | allAgents. Property id 3019616","                        London, Greater London                    ",2,1521.0
"Upper Clapton Road London, E5 8BQ, UK","                        London, Greater London                    ",2,1750.0
House for rent in London,"                        London, Greater London                    ",2,1650.0
apartment for rent in London,"                        London, Greater London                    ",1,3489.0
"Hendon Way, London, NW2","                        London, Greater London                    ",4,3300.0
"3 Bedroom flat to rent in Townmead Road, Fulham, SW6","                        London, Greater London                    ",3,4997.0
"Hendon Way, London, NW2","                        London, Greater London                    ",3,2500.0
"1 Bedroom Apartment to Rent in Landmark West Tower, 22 Marsh Wall, London, E14, London, E14, 9AF | allAgents. Property id 3347642","                        London, Greater London                    ",1,2100.0
2 room apartment to let in London,"                        London, Greater London                    ",2,1998.0
"Cubitt Building, Grosvenor Waterside, 10 Gatliff Road, London, SW1W","                        London, Greater London                    ",1,2700.0
house for rent in London,"                        London, Greater London                    ",4,4500.0
"3 Bedroom flat to rent in Whiting Way, Surrey Quays, SE16","                        London, Greater London                    ",3,3111.0
"Tower Bridge Road, Southwark, SE1","                        London, Greater London                    ",1,2800.0
"Millbank, Westminster, SW1P","                        London, Greater London                    ",3,8500.0
Apartment for rent in London,"                        London, Greater London                    ",1,2145.0
"Hans Crescent, London, SW1X","                        London, Greater London                    ",2,12545.0
"Icon Tower, Acton, W3","                        London, Greater London                    ",1,2400.0
"Tryon House, Brook Street, KT1","                        London, Greater London                    ",2,3000.0
"Arden, Lewisham Rd, SE10","                        London, Greater London                    ",1,1750.0
"2 bed Flat/Apartment New Instruction City Road, Old Street £3,250 PCM Fees Apply","                        London, Greater London                    ",2,3250.0
"2 bed Flat/Apartment New Instruction City Road, Islington £3,300 PCM Fees Apply","                        London, Greater London                    ",2,3300.0
Price £695 pw Available Now Furnished,"                        London, Greater London                    ",2,2780.0
"Bed in an 8 bed dorm, in a hostel near University of London | Room for rent #19969270 | Rentberry","                        London, Greater London                    ",10,430.0
"Hampton House, King’s Road Park, SW6","                        London, Greater London                    ",2,4333.0
"3 Bedroom Apartment to Rent in The Landmark East, Canary Wharf, E14, Tower Hamlets, London, E14, 9EG | allAgents. Property id 2917538","                        London, Greater London                    ",3,5200.0
"Devonshire Terrace, Bayswater, W2","                        London, Greater London                    ",2,2150.0
apartment for rent in London,"                        London, Greater London                    ",1,2817.0
"West End Lane, West Hampstead, NW6","                        London, Greater London                    ",3,4983.0
"Chapman Square, Wimbledon, SW19","                        London, Greater London                    ",3,3750.0
"Apartment in London, Greater London","                        London, Greater London                    ",1,3560.0
"Winchester Road, Swiss Cottage, NW3","                        London, Greater London                    ",2,3445.0
"Gordon Road Edmonton London, 3 bedroom, House","                        London, Greater London                    ",3,1900.0
"Pan Peninsula Square East Tower, London, 2 bedroom, Flat","                        London, Greater London                    ",2,2600.0
"A spacious and contemporary four bedroom three bathroom maisonette laid out over the ground, first, second and third floors a beautifully renovated period building in the heart of Marylebone","                        London, Greater London                    ",4,4892.0
"4 beds, Sunnyhill Road, Streatham, SW16","                        London, Greater London                    ",4,3650.0
"Lancaster Grove, Belsize Park, London","                        London, Greater London                    ",3,3100.0
Apartment for rent in London,"                        London, Greater London                    ",3,6283.0
Blenheim House,"                        London, Greater London                    ",2,7999.0
"apartment for rent at Casson Square, Southbank, London, SE1","                        London, Greater London                    ",1,3150.0
"apartment for rent at Trevor Square, London, SW7","                        London, Greater London                    ",3,23898.0
"apartment for rent at Courtfield Road, South Kensington, London, SW7","                        London, Greater London                    ",2,4888.0
Property to rent in London,"                        London, Greater London                    ",3,2200.0
"apartment for rent at Cambridge Street, SW1V, United_kingdom","                        London, Greater London                    ",2,3693.0
"Hoxton Press, Penn Street, N1","                        London, Greater London                    ",1,2500.0
"Upper Ground, London","                        London, Greater London                    ",2,2352.0
"2 Bedroom Property in Croxley Road, London | £2,350 | Braithwait","                        London, Greater London                    ",2,2350.0
"apartment for rent at New Hereford House, 117 Park Street, Mayfair, London, W1K","                        London, Greater London                    ",2,9537.0
"1 Bedroom Apartment to Rent in Marylebone Lane, Marylebone, W1U","                        London, Greater London                    ",1,2383.0
Property to rent in London,"                        London, Greater London                    ",1,1450.0
"apartment for rent at De Beauvoir Crescent, London, N1","                        London, Greater London                    ",2,2750.0
"Rowena Crescent, London, London","                        London, Greater London                    ",4,3245.0
"Apartment to rent in Bessborough House, Battersea Power Station, SW11","                        London, Greater London                    ",3,11000.0
"Apartment to rent in Madeira Tower, The Residence, SW11","                        London, Greater London                    ",2,3120.0
"apartment for rent at 10 Park Drive, Canary Wharf, London, E14","                        London, Greater London                    ",1,2281.0
A meticulously designed three bedroom house,"                        London, Greater London                    ",3,16511.0
Two bedroom furnished apartment available for short let,"                        London, Greater London                    ",2,6083.0
"apartment for rent at De Vere Gardens, London, W8","                        London, Greater London                    ",3,17163.0
"Property To Rent Selsdon Way, Canary Wharf, E14 | 2 Bedroom Flat through Vantage UK","                        London, Greater London                    ",2,2300.0
"house at St. Albans Avenue, London, W4 5JS","                        London, Greater London                    ",5,4450.0
"2 Bedroom Apartment to Rent in Elim Estate, Weston Street, London, SE1, London, SE1, 4DA | allAgents. Property id 3430599","                        London, Greater London                    ",2,1950.0
"A four bedroom, three bathroom house in the heart of Notting Hill","                        London, Greater London                    ",4,16294.0
3 bedroom terraced house,"                        London, Greater London                    ",3,2900.0
"4a Sterne Street, London, England, W12 8 Room 3","                        London, Greater London                    ",1,689.0
3 bedroom ground floor flat,"                        London, Greater London                    ",3,3497.0
2 bedroom apartment,"                        London, Greater London                    ",2,2300.0
"1 Bedroom Flat to Rent in St. John's Hill, SW11, SW11, 1SJ | allAgents. Property id 3431966","                        London, Greater London                    ",1,1430.0
"1 Bedroom Flat to Rent in Chalcot Crescent, Primrose Hill, NW1, Primrose Hill, NW1, 8YD | allAgents. Property id 2638048","                        London, Greater London                    ",1,2167.0
"2 Bedroom Apartment to Rent in Stuart Tower, Maida Vale W9, W9, 1UJ | allAgents. Property id 3431911","                        London, Greater London                    ",2,2297.0
"3 Bedroom Flat to Rent in Green Street, Mayfair, W1K 6RH, Westminster, London, W1K, 6RH | allAgents. Property id 2846885","                        London, Greater London                    ",3,16683.0
"Studio to Rent in Warren Court, Euston Road, Fitzrovia, London, NW1, NW1, 3AA | allAgents. Property id 3431917","                        London, Greater London                    ",1,1950.0
"Oxford Road, Reading RG30 1HF","                        London, Greater London                    ",2,1250.0
"Flat to rent on Hanover Gate Mansions St John's Wood, London, NW1, United kingdom","                        London, Greater London                    ",2,2750.0
"4a Sterne Street, London, England, W12 8 Room 1","                        London, Greater London                    ",1,632.0
"Double room Single use in Bow, McAusland House, Wrights Road, E3","                        London, Greater London                    ",1,910.0
"2 Bedroom Apartment to Rent in Kingsley Mews, London, London, E1W, 3HZ | allAgents. Property id 2917529","                        London, Greater London                    ",2,1668.0
"Malam Gardens, London E14","                        London, Greater London                    ",3,2168.0
"Eldon Park, London Streets Ahead Estate Agents","                        London, Greater London                    ",2,1500.0
1 bedroom Double room to let Harringay Double Room,"                        London, Greater London                    ",1,600.0
"Baltimore Wharf, Canary Wharf, London E14","                        London, Greater London                    ",1,2032.0
"Double room Single use in Bethnal Green, Merceron House, Globe Road, E2","                        London, Greater London                    ",1,823.0
"Double room Single use in Canary Wharf, Manchester Road, E14","                        London, Greater London                    ",1,823.0
"apartment for rent at Nevis Road, SW17","                        London, Greater London                    ",2,2500.0
"Double room Single use in Bethnal Green/Victoria Park, Sewardstone Road, E2","                        London, Greater London                    ",1,888.0
"Pinkham Mansions, London, W4 Madison Brook","                        London, Greater London                    ",3,2750.0
"apartment for rent at Ranelagh Gardens, SW6","                        London, Greater London                    ",2,2058.0
"Double Room in London City Airport,Gallions Reach, Frobisher Yard, E16","                        London, Greater London                    ",1,1105.0
"house for rent at Dora Road, SW19","                        London, Greater London                    ",5,8000.0
"Double Room in Bounds Green, Sovereign Court,52 Bounds Green Road, N11","                        London, Greater London                    ",1,1256.0
"Edensor Gardens, London, W4 Madison Brook","                        London, Greater London                    ",3,2400.0
1 Bedroom Ground Floor Flat,"                        London, Greater London                    ",1,1408.0
Host View Studios,"                        London, Greater London                    ",1,1360.0
1 Bedroom Apartment,"                        London, Greater London                    ",1,1712.0
"1 Bedroom Ground Flat to Rent in Golders Green Road, London, NW11, NW11, 8EN | allAgents. Property id 2954486","                        London, Greater London                    ",1,1192.0
"Double room Single use in Bethnal Green, Longman House, Mace Street, E2","                        London, Greater London                    ",1,910.0
"1 Bedroom flat to rent in Highbury Stadium Square, Highbury, N5","                        London, Greater London                    ",1,1911.0
2 Bedroom Flat,"                        London, Greater London                    ",2,1859.0
"Double room Single use in Edgware Road, Fulmer House, 11 Mallory Street, NW8","                        London, Greater London                    ",1,1083.0
"Lawrence Road, London, N15","                        London, Greater London                    ",2,2167.0
"Double room Single use in Holloway, Bakersfield,Crayford Road, N7","                        London, Greater London                    ",1,758.0
apartment for rent in London,"                        London, Greater London                    ",3,1958.0
Modern and minimalist flat in the heart of North West London,"                        London, Greater London                    ",2,3748.0
1 bedroom apartment,"                        London, Greater London                    ",1,2002.0
Ideal Islington 1BR w/ Balcony,"                        London, Greater London                    ",2,3996.0
"Double Room in London Bridge, Elm Court, Royal Oak Yard, SE1","                        London, Greater London                    ",1,1386.0
"Brampton Road, Kingsbury","                        London, Greater London                    ",4,2850.0
"2 bed flat to rent, Leicester, LE2","                        London, Greater London                    ",2,748.0
"1 bed flat to rent in 24 Deacon Street, Leicester, LE2","                        London, Greater London                    ",1,780.0
"Double room Single use in Crossharbour,South Quay, Mellish Street, E14","                        London, Greater London                    ",1,1040.0
"Studio flat to rent in 9 De Montfort Mews, Leicester, LE1","                        London, Greater London                    ",1,863.0
"1 bed flat to rent in 24 Deacon Street, Leicester, LE2","                        London, Greater London                    ",1,736.0
"1 Bedroom Flat to Rent in Welbeck Street, Marylebone, W1G 9XF, London, W1G, 9XF | allAgents. Property id 2846840","                        London, Greater London                    ",1,1950.0
"4 Bedroom Apartment to Rent in Prince Of Wales Terrace, South Kensington, W8 5DL, High Street Kensington, London, W8, 5DL | allAgents. Property id 2846842","                        London, Greater London                    ",4,8233.0
"2 Bedroom Apartment to Rent in Blagdens Lane, Southgate, N14, Southgate, N14, 6DG | allAgents. Property id 3433810","                        London, Greater London                    ",2,2250.0
"2 Bedroom Apartment to Rent in Lexham Gardens, South Kensington, W8 6JN, High Street Kensington, London, W8, 6JN | allAgents. Property id 2846904","                        London, Greater London                    ",2,3250.0
"2 Bedroom, Mid Terraced House for rent at Rosendale Road, London","                        London, Greater London                    ",2,2300.0
"Streamside Close, London N9 9XE","                        London, Greater London                    ",1,1250.0
Room for rent,"                        London, Greater London                    ",1,736.0
"St Ann`s Hill, Wandsworth, 1 bedroom, Apartment","                        London, Greater London                    ",1,1384.0
"Hardwicks Square, Wandsworth, 1 bedroom, Apartment","                        London, Greater London                    ",1,1752.0
"Caledonian Road, Islington, London, N1","                        London, Greater London                    ",3,1738.0
"Highfield Road, Golders Green, London NW11","                        London, Greater London                    ",1,1408.0
"5 Bedroom detached house to rent on The Water Tower, Shooters Hill, SE18","                        London, Greater London                    ",5,5250.0
"Property To Rent The Drive, Golders Green, NW11 | 3 Bedroom Flat through Abacus Estates","                        London, Greater London                    ",3,3019.0
"Kilburn High Road, Kilburn, London, NW6","                        London, Greater London                    ",1,1075.0
"apartmentfor rent at Goodrich Road, East Dulwich, London, SE22, UK","                        London, Greater London                    ",1,1200.0
"Flat 140 Marsham Court, Marsham Street, London","                        London, Greater London                    ",3,3900.0
"Artillery Mansions, Victoria Street, London, SW1H","                        London, Greater London                    ",2,3500.0
"Pimlico Place, 28 Guildhouse Street, Westminster, London, SW1V 1JJ","                        London, Greater London                    ",2,3692.0
Spacious 1 Bedroom in Canary Wharf,"                        London, Greater London                    ",3,3157.0
"Percival Street, London, EC1V","                        London, Greater London                    ",1,2700.0
"2 Bedroom Apartment to Rent in Hertford Street, Mayfair, W1J 7RZ, Westminster, London, W1J, 7RZ | allAgents. Property id 2846774","                        London, Greater London                    ",2,11375.0
"2 Bedroom Flat to Rent in Zenith Close, Colindale, London, NW9, 6FA | allAgents. Property id 3434103","                        London, Greater London                    ",2,2000.0
"3 Bedroom Apartment to Rent in The Avenue, Bow, Tower Hamlets, London, E3, 3TF | allAgents. Property id 387753","                        London, Greater London                    ",3,2167.0
"1 Bedroom Flat to Rent in Charlotte Street, Fitzrovia, W1T 2AW, Westminster, London, W1T, 2AW | allAgents. Property id 2846821","                        London, Greater London                    ",1,1820.0
"4 Bedroom Flat to Rent in Bethnal Green Road, London, E2, 7DG | allAgents. Property id 3434198","                        London, Greater London                    ",4,3600.0
39 Hill Street,"                        London, Greater London                    ",2,4550.0
"Studio flat to rent in Aerodrome Road, Colindale, NW9, London","                        London, Greater London                    ",1,1238.0
2 Bedroom Flat To Rent,"                        London, Greater London                    ",2,9750.0
Cedar House. 39 41 Nottingham Place,"                        London, Greater London                    ",1,2817.0
"2 Bedroom flat to rent in Longfield Avenue, Ealing, W5","                        London, Greater London                    ",2,2607.0
39 Hill Street,"                        London, Greater London                    ",2,4766.0
All Souls Church. 152 Loudoun Road,"                        London, Greater London                    ",1,2145.0
"5 bedroom property to let in Linver Road, Fulham, SW6 £1,442 pw","                        London, Greater London                    ",5,6248.0
3 Bedroom to Rent Greenford,"                        London, Greater London                    ",3,2000.0
"Granfield Street, Battersea, 3 bedroom, Apartment","                        London, Greater London                    ",3,2540.0
"Chadwick House, Latchmere Street, Battersea, 1 bedroom, Apartment","                        London, Greater London                    ",1,1800.0
TWO BEDROOM GROUND FLOOR/BASEMENT FLAT,"                        London, Greater London                    ",2,1600.0
"Newcombe Park, Mill Hill, NW7","                        London, Greater London                    ",3,2595.0
"2 bedroom property to let in Harcourt Terrace, West Chelsea, SW10 £775 pw","                        London, Greater London                    ",2,3358.0
"Bittacy Hill, Mill Hill, NW7","                        London, Greater London                    ",3,2300.0
2 room apartment to let in London,"                        London, Greater London                    ",2,2000.0
"Guardhouse Way, Mill Hill, NW7","                        London, Greater London                    ",3,2600.0
"2 bedroom property to let in Queen's Gate, South Kensington, SW7 £1,150 pw","                        London, Greater London                    ",2,4983.0
2 room apartment to let in London,"                        London, Greater London                    ",2,1950.0
"1 Bedroom Flat to Rent in Great Portland Street, Fitzrovia, W1W 7LT, Westminster, London, W1W, 7LT | allAgents. Property id 2846813","                        London, Greater London                    ",1,2253.0
"2 Bedroom Flat to Rent in Hallam Street, Fitzrovia, W1W 5AX, Westminster, London, W1W, 5AX | allAgents. Property id 2846788","                        London, Greater London                    ",2,2687.0
"2 Bedroom Apartment to Rent in Rainbow Quay, Surrey Quays, SE16 7UF, Southwark, London, SE16, 7UF | allAgents. Property id 387778","                        London, Greater London                    ",2,1712.0
"Courthill Road, Hither Green, Lewisham, London, SE13","                        London, Greater London                    ",1,1700.0
"1 Bedroom Flat to Rent in Moreton Terrace, Pimlico, SW1V 2NX, Westminster, London, SW1V, 2NX | allAgents. Property id 2846836","                        London, Greater London                    ",1,1820.0
"Third Floor Flat, London, W2","                        London, Greater London                    ",3,4300.0
"3 bedroom property to let in Avalon Road, London, SW6 £4,500 pcm","                        London, Greater London                    ",3,4500.0
Apartment for rent in London,"                        London, Greater London                    ",3,1700.0
"Ravenscourt Road, Hammersmith, W6","                        London, Greater London                    ",3,4788.0
"2 bedroom property to let in Cranley Gardens, South Kensington, SW7 £650 pw","                        London, Greater London                    ",2,2816.0
1 Bedroom Apartment To Rent,"                        London, Greater London                    ",1,1500.0
